name,date,long
MEASAT 3D,22-Jun-22,91.5
CMS-02,22-Jun-22,92.6
NILESAT 301,8-Jun-22,-8.9
GOES 18,1-Mar-22,-136.8
INMARSAT 6-F1,22-Dec-21,32.4
TURKSAT 5B,19-Dec-21,42
SES 17,24-Oct-21,-67.1
TJS-7,24-Aug-21,146.6
CHINASAT 2E,5-Aug-21,98.1
TURKSAT 5A,8-Jan-21,30.9
CMS-01,17-Dec-20,83.1
GALAXY 30,15-Aug-20,-125
BEIDOU 3 G2,9-Mar-20,80
GEO-KOMPSAT-2B,18-Feb-20,128.3
JCSAT 17,18-Feb-20,135.9
EUTELSAT KONNECT,16-Jan-20,7.2
GSAT 30,16-Jan-20,82.9
SJ-20,27-Dec-19,33.5
INMARSAT GX5,26-Nov-19,11
TIBA-1,26-Nov-19,35.5
EUTELSAT 5 WEST B,9-Oct-19,-5
AMOS 17,6-Aug-19,17
INTELSAT 39,6-Aug-19,62
EDRS-C,6-Aug-19,31.2
EUTELSAT 7C,20-Jun-19,7
AT&T T-16,20-Jun-19,-100.8
ARABSAT 6A,11-Apr-19,30.5
TIANLIAN 2-01,31-Mar-19,79.9
WGS 10 (USA 291),16-Mar-19,60.3
CHINASAT 6C,9-Mar-19,130.1
GSAT 11,4-Dec-18,73.9
GEO-KOMPSAT-2A,4-Dec-18,128.3
ES'HAIL 2 (QO-100),15-Nov-18,25.8
GSAT 29,14-Nov-18,55
AEHF 4 (USA 288),17-Oct-18,-67.6
AZERSPACE 2/INTELSAT 38,25-Sep-18,45.1
TELSTAR 18V,7-Sep-18,138
TELKOM-4,7-Aug-18,108
TELSTAR 19V,22-Jul-18,-63
FENGYUN 2H,5-Jun-18,79.4
SES 12,4-Jun-18,95
APSTAR 6C,3-May-18,134
GOES 17,1-Mar-18,-137.2
SES 14,25-Jan-18,-47.5
AL YAH 3,25-Jan-18,-20.1
ANGOSAT 1,26-Dec-17,158.4
ALCOMSAT 1,10-Dec-17,-24.8
KOREASAT-5A,30-Oct-17,113.2
ECHOSTAR 105/SES 11,11-Oct-17,-104.9
BSAT-4A,29-Sep-17,109.8
INTELSAT-37E,29-Sep-17,-18
ASIASAT 9,28-Sep-17,122.1
AMAZONAS 5,11-Sep-17,-61
QZS-3 (MICHIBIKI-3),19-Aug-17,127
TDRS 13,18-Aug-17,-11.4
BLAGOVEST 11L (COSMOS 2520),16-Aug-17,45
INTELSAT 35E,5-Jul-17,-34.5
GSAT 17,28-Jun-17,93.5
HELLAS-SAT 3,28-Jun-17,39
BULGARIASAT-1,23-Jun-17,1.9
ECHOSTAR 21,8-Jun-17,10.3
GSAT 19,5-Jun-17,47.8
EUTELSAT 172B,1-Jun-17,172
VIASAT 2,1-Jun-17,-69.9
SES-15,18-May-17,-129.2
INMARSAT 5-F4,15-May-17,56.5
GSAT 9,5-May-17,97.3
SGDC,4-May-17,-74.8
KOREASAT 7,4-May-17,115.9
CHINASAT 16,12-Apr-17,110.6
SES-10,30-Mar-17,-66.9
ECHOSTAR 23,16-Mar-17,-109.9
INTELSAT 32E (SKY BRASIL 1),14-Feb-17,-43.2
TELKOM 3S,14-Feb-17,118
HISPASAT 36W-1,28-Jan-17,-36
TJS-2,5-Jan-17,66.5
STARONE D1,21-Dec-16,-84
JCSAT 15,21-Dec-16,110.1
ECHOSTAR 19,18-Dec-16,-97.1
FENGYUN 4A,10-Dec-16,104.6
TIANLIAN 1-04,22-Nov-16,176.6
GOES 16,19-Nov-16,-75.2
SJ-17 (SHIJIAN-17),3-Nov-16,117.5
HIMAWARI 9,2-Nov-16,140.7
SKY MUSTER II,5-Oct-16,144.8
GSAT 18,5-Oct-16,74
INSAT 3DR,8-Sep-16,74.1
INTELSAT 33E,24-Aug-16,60
INTELSAT 36,24-Aug-16,68.5
JCSAT 16,14-Aug-16,93.1
ECHOSTAR XVIII,18-Jun-16,-61.3
BRISAT,18-Jun-16,150.5
EUTELSAT 117W B,15-Jun-16,-117
ABS 2A,15-Jun-16,74.7
USA 268,11-Jun-16,52.9
THAICOM 8,27-May-16,78.5
JCSAT-14,6-May-16,154
IRNSS 1G,28-Apr-16,129.5
BEIDOU IGSO 6,29-Mar-16,110.9
IRNSS 1F,10-Mar-16,32.3
EUTE 65W,9-Mar-16,-65.2
SES-9,4-Mar-16,108.3
EUTELSAT 9B,29-Jan-16,9
INTELSAT 29E,27-Jan-16,-18.2
BELINTERSAT 1,15-Jan-16,51.5
GAOFEN 4,28-Dec-15,105.7
EXPRESS-AMU1,24-Dec-15,36.1
COSMOS 2513,13-Dec-15,80.2
ELEKTRO-L 2,11-Dec-15,-14.5
TELSTAR 12V,24-Nov-15,-15
LAOSAT 1,20-Nov-15,128.5
BADR 7 (ARABSAT-6B),10-Nov-15,26
GSAT 15,10-Nov-15,93.4
CHINASAT 2C (ZX 2C),3-Nov-15,103.4
TURKSAT 4B,16-Oct-15,50
APSTAR 9,16-Oct-15,142
MORELOS 3,2-Oct-15,-113.1
ARSAT 2,30-Sep-15,-81
SKY MUSTER,30-Sep-15,140.2
EXPRESS AM-8,14-Sep-15,-14
TJS-1,12-Sep-15,155
MUOS 4,2-Sep-15,74.9
INMARSAT 5-F3,28-Aug-15,179.6
GSAT 6,27-Aug-15,82.5
EUTELSAT 8 WEST B,20-Aug-15,-8
INTELSAT 34,20-Aug-15,-55.5
STAR ONE C4,15-Jul-15,-70
MSG 4,15-Jul-15,0.4
SKY MEXICO-1,27-May-15,-78.7
DIRECTV 15,27-May-15,-102.8
TURKMENALEM52E/MONACOSAT,27-Apr-15,52
SICRAL 2,26-Apr-15,49.8
THOR 7,26-Apr-15,-0.7
EXPRESS AM7,18-Mar-15,40
EUTE 115 WEST B (SATMEX 7,2-Mar-15,-114.9
ABS 3A,2-Mar-15,-3
INMARSAT 5-F2,1-Feb-15,-55
MUOS 3,21-Jan-15,-14.9
ASTRA 2G,27-Dec-14,28.2
DUMMY SAT 2/BREEZE-M,23-Dec-14,89.7
YAMAL 401,15-Dec-14,89.9
DIRECTV 14,6-Dec-14,-99.2
GSAT 16,6-Dec-14,55
EXPRESS AM-6,21-Oct-14,53
ARSAT 1,16-Oct-14,-71.8
INTELSAT 30 (IS-30),16-Oct-14,-95
IRNSS 1C,15-Oct-14,82.8
HIMAWARI 8,6-Oct-14,140.7
LUCH (OLYMP),27-Sep-14,61.9
USA 257 (CLIO),17-Sep-14,50.3
MEASAT 3B,11-Sep-14,91.5
OPTUS 10,11-Sep-14,156
ASIASAT 6,7-Sep-14,119.9
ASIASAT 8,5-Aug-14,-3.9
EUTE 3B,26-May-14,3.1
USA 252,22-May-14,-19.7
KAZSAT 3,28-Apr-14,58.5
LUCH 5V,28-Apr-14,94.6
USA 250 (NROL-67),10-Apr-14,69.3
IRNSS 1B,4-Apr-14,52.4
ASTRA 5B,22-Mar-14,31.5
AMAZONAS 4A,22-Mar-14,-73.9
EXPRESS AT-2,15-Mar-14,139.8
EXPRESS AT-1,15-Mar-14,56
TURKSAT 4A,14-Feb-14,42
ATHENA-FIDUS,6-Feb-14,37.8
ABS 2,6-Feb-14,74.9
TDRS-12,23-Jan-14,-40.9
THAICOM 6,6-Jan-14,78.5
GSAT-14,5-Jan-14,74
EXPRESS-AM5,26-Dec-13,140
TUPAC KATARI,20-Dec-13,-87.1
INMARSAT 5-F1,8-Dec-13,62.6
SES-8,3-Dec-13,95
RADUGA-1M 3,11-Nov-13,35
ASTRA 2E,29-Sep-13,28.5
AEHF-3 (USA 246),18-Sep-13,-155.6
AMOS-4,31-Aug-13,65
GSAT-7 (INSAT 4F),29-Aug-13,74.1
EUTELSAT 25B (ES'HAIL 1),29-Aug-13,25.5
WGS F6 (USA 244),8-Aug-13,-135.2
INSAT 3D,25-Jul-13,82.1
ALPHASAT (INMARSAT 4A-F4),25-Jul-13,24.9
IRNSS-1A,1-Jul-13,52.2
SES-6,3-Jun-13,-40.5
EUTE 3D,14-May-13,7
CHINASAT 11,1-May-13,97.9
ANIK G1,15-Apr-13,-107.3
SATMEX 8,26-Mar-13,-116.8
SBIRS GEO 2 (USA 241),19-Mar-13,-13
